Algorithm,Size,GFLOPS,GEMMReference,EfficiencyVsGEMM,FLOPs
GEMM (1 thread),64,7.1453,448.0000,0.0159,524288
GEMM (parallel),64,11.3728,448.0000,0.0254,524288
CUDA GEMM,64,0.0000,0.0000,0.0000,0
GEMM (1 thread),128,17.6113,448.0000,0.0393,4194304
GEMM (parallel),128,14.7539,448.0000,0.0329,4194304
CUDA GEMM,128,0.0000,0.0000,0.0000,0
GEMM (1 thread),256,17.0965,448.0000,0.0382,33554432
GEMM (parallel),256,31.6147,448.0000,0.0706,33554432
CUDA GEMM,256,0.0000,0.0000,0.0000,0
GEMM (1 thread),512,15.5462,448.0000,0.0347,268435456
GEMM (parallel),512,62.5377,448.0000,0.1396,268435456
CUDA GEMM,512,0.0000,0.0000,0.0000,0
GEMM (1 thread),1024,18.0911,448.0000,0.0404,2147483648
GEMM (parallel),1024,90.2231,448.0000,0.2014,2147483648
CUDA GEMM,1024,0.0000,0.0000,0.0000,0
Householder QR,64,0.7115,11.3728,0.0626,174762
Hessenberg,64,1.0108,11.3728,0.0889,873813
Bidiagonal,64,0.0476,11.3728,0.0042,349525
LU,64,0.4588,11.3728,0.0403,174762
SVD,64,0.2326,11.3728,0.0205,2883584
Polar,64,0.6477,11.3728,0.0569,3932160
Schur (Implicit QR),64,0.1945,11.3728,0.0171,6553600
Householder QR,128,1.0672,14.7539,0.0723,1398101
Hessenberg,128,0.8645,14.7539,0.0586,6990506
Bidiagonal,128,0.6147,14.7539,0.0417,2796202
LU,128,1.2181,14.7539,0.0826,1398101
SVD,128,1.0232,14.7539,0.0694,23068672
Polar,128,5.4002,14.7539,0.3660,31457280
Schur (Implicit QR),128,0.6455,14.7539,0.0437,52428800
Householder QR,256,1.2183,31.6147,0.0385,11184810
Hessenberg,256,0.5322,31.6147,0.0168,55924053
Bidiagonal,256,0.7143,31.6147,0.0226,22369621
LU,256,2.8002,31.6147,0.0886,11184810
SVD,256,0.5639,31.6147,0.0178,184549376
Polar,256,7.1377,31.6147,0.2258,251658240
Schur (Implicit QR),256,1.0639,31.6147,0.0337,419430400
Householder QR,512,1.1240,62.5377,0.0180,89478485
Hessenberg,512,1.1220,62.5377,0.0179,447392426
Bidiagonal,512,0.5911,62.5377,0.0095,178956970
LU,512,6.9119,62.5377,0.1105,89478485
SVD,512,0.1711,62.5377,0.0027,1476395008
Polar,512,6.2244,62.5377,0.0995,2013265920
Householder QR,1024,1.0519,90.2231,0.0117,715827882
Hessenberg,1024,1.8761,90.2231,0.0208,3579139413
Bidiagonal,1024,0.4488,90.2231,0.0050,1431655765
LU,1024,7.9928,90.2231,0.0886,715827882
